item word word_untagged logFreq orthN length consistency AoA phonemeN
345 boasts boast 0.109545 6 6 1 14 5
346 boat boat 1 10 4 1 2 3
347 boats boat 0.884308 9 5 1 4 4
348 bob bob 0.161245 19 3 1 3 3
349 bobbed bob 0.209762 2 6 1 12 4
350 bobs bob 0.063246 15 4 1 14 4
351 bock bock 0.05 13 4 1 14 3
352 bocks bock 0.05 11 5 1 14 4
353 bod bod 0.05 19 3 1 14 3
354 bode bode 0.063246 8 4 1 14 3
355 bog bog 0.167332 18 3 1 10 3
356 boil boil 0.402492 8 4 1 6 3
357 boiled boil 0.357771 0 6 1 5 4
358 boils boil 0.214476 7 5 1 8 4
359 bold bold 0.417133 12 4 1 6 4
360 bole bole 0.05 14 4 1 14 3
361 boles bole 0.05 11 5 1 14 4
362 boll boll 0.178885 15 4 0.7 14 3
363 bolls boll 0.134164 14 5 0.7 14 4
364 bolt bolt 0.34641 11 4 1 9 4
365 bolts bolt 0.272029 9 5 1 10 5
366 bomb bomb 0.340588 3 4 0.2 7 3
367 bombs bomb 0.275681 3 5 0.25 9 4
368 bond bond 0.282843 7 4 1 9 4
369 bonds bond 0.316228 5 5 1 8 5
370 bone bone 0.718331 13 4 0.888889 4 3
371 bones bone 0.990959 7 5 1 3 4
372 boo boo 0.089443 14 3 1 14 2
373 book book 1 12 4 0.833333 2 3
374 books book 1 10 5 0.888889 2 4
375 boom boom 0.349285 9 4 1 7 3
376 booms boom 0.134164 8 5 1 14 4
377 boon boon 0.148324 11 4 1 14 3
378 boons boon 0.05 9 5 1 14 4
379 boor boor 0.05 9 4 1 14 3
380 boors boor 0.05 6 5 1 14 4
381 boos boo 0.063246 15 4 1 14 3
382 boost boost 0.154919 2 5 1 12 4
383 boosts boost 0.07746 2 6 1 14 5
384 boot boot 0.256905 17 4 0.833333 10 3
385 booth booth 0.252982 4 5 0.75 10 3
386 booths booth 0.154919 2 6 1 11 4
387 boots boot 0.593296 14 5 0.888889 4 4
388 booze booze 0.05 0 5 1 14 3
389 bop bop 0.063246 15 3 1 14 3
390 bops bop 0.05 16 4 1 14 4
391 bosh bosh 0.05 6 4 1 14 3
392 boss boss 0.4 14 4 0.909091 5 3
393 botch botch 0.05 4 5 1 14 4
394 both both 1 3 4 0.142857 2 3
395 bough bough 0.2 4 5 0.222222 14 2
396 boughs bough 0.189737 3 6 0.25 9 3
397 bought buy 1 4 6 0.875 3 3
398 bounce bounce 0.325576 1 6 1 7 4
399 bounced bounce 0.282843 0 7 1 7 5
400 bound bind 0.583095 6 5 1 5 4
401 bourn bourn 0.05 1 5 1 14 4
402 bourse bourse 0.05 1 6 1 14 4
403 bout bout 0.05 8 4 1 13 3
404 bouts bout 0.109545 7 5 1 14 4
405 bow bow 0.749667 17 3 0.62963 4 2
406 bowl bowl 0.806226 10 4 0.0909091 4 3
407 bowls bowl 0.325576 6 5 0.125 6 4
408 bows bow 0.286356 11 4 0.684211 7 3
409 box box 1 11 3 1 2 4
410 boy boy 1 14 3 1 2 2
411 boys boy 1 10 4 1 2 3
412 bra bra 0.05 0 3 0.875 14 3
413 brace brace 0.2 6 5 1 12 4
414 bract bract 0.05 2 5 1 14 5
415 brad brad 0.07746 7 4 0.842105 14 4
416 brads brad 0.063246 7 5 0.916667 14 5
417 brag brag 0.126491 7 4 1 14 4
418 bragged brag 0.148324 1 7 1 14 5
419 brags brag 0.089443 8 5 1 14 5
420 braid braid 0.2 2 5 0.75 14 4
421 braids braid 0.223607 2 6 0.8 10 5
422 braille braille 0.063246 0 7 1 14 4
423 brailles braille 0.05 0 8 1 14 5
424 brain brain 0.812404 5 5 1 4 4
425 brains brain 0.32249 5 6 1 5 5
426 braise braise 0.05 2 6 1 14 4
427 brake brake 0.382099 6 5 1 10 4
428 brakes brake 0.36606 1 6 1 7 5
429 bran bran 0.178885 5 4 0.882353 12 4
430 branch branch 0.682642 2 6 1 4 5
431 brand brand 0.32249 4 5 0.923077 6 5
432 brands brand 0.167332 1 6 0.9 10 6
433 brans bran 0.05 7 5 0.909091 14 5
434 brash brash 0.063246 4 5 0.84 14 4
435 brass brass 0.618061 8 5 1 5 4
436 brat brat 0.05 8 4 0.888889 14 4
437 brats brat 0.05 7 5 1 14 5
438 brave brave 0.750999 6 5 0.882353 4 4
439 brawl brawl 0.07746 3 5 1 14 4
440 brawls brawl 0.063246 3 6 1 14 5
441 brawn brawn 0.063246 4 5 1 14 4
442 brawns brawn 0.05 2 6 1 14 5
443 bray bray 0.05 9 4 0.933333 14 3
444 brayed bray 0.05 2 6 1 14 4
445 brays bray 0.05 8 5 0.857143 14 4
446 braze braze 0.05 6 5 1 14 4
447 breach breach 0.126491 5 6 1 11 4
448 bread bread 1 5 5 0.571429 2 4
449 breads bread 0.167332 3 6 0.5 11 5
450 breadth breadth 0.161245 0 7 1 11 5
451 breadths breadth 0.05 0 8 1 14 6
452 break break 1 5 5 0.133333 3 4
453 breast breast 0.354965 0 6 0.2 5 5
454 breasts breast 0.154919 0 7 0.25 9 6
455 breath breath 0.870632 2 6 0.4 2 4
456 breathe breathe 0.638749 2 7 1 4 4
457 breaths breath 0.134164 2 7 0.4 11 5
458 breech breech 0.07746 1 6 1 12 4
459 breed breed 0.306594 4 5 1 7 4
460 breeds breed 0.2 4 6 1 10 5
461 breeze breeze 0.542218 1 6 1 4 4
462 breve breve 0.063246 1 5 1 14 4
463 brew brew 0.089443 5 4 0.730769 14 3
464 brews brew 0.07746 3 5 0.642857 14 4
465 bribe bribe 0.109545 3 5 1 14 4
466 bribed bribe 0.089443 1 6 1 14 5
467 bribes bribe 0.07746 3 6 1 14 5
468 brick brick 0.513809 5 5 1 5 4
469 bricks brick 0.4219 3 6 1 6 5
470 bride bride 0.325576 3 5 1 5 4
471 brides bride 0.07746 2 6 1 14 5
472 bridge bridge 0.734847 1 6 1 4 4
473 brief brief 0.565685 1 5 1 5 4
474 briefs briefs 0.063246 1 6 1 14 5
475 brig brig 0.05 4 4 1 14 4
476 bright bright 1 3 6 1 2 4
477 brigs brig 0.05 3 5 1 14 5
478 brill brill 0.05 4 5 1 14 4
479 brim brim 0.204939 4 4 1 11 4
480 brims brim 0.05 2 5 1 14 5
481 brine brine 0.167332 4 5 1 12 4
482 bring bring 1 3 5 1 2 5
483 brings bring 0.581378 1 6 1 5 6
484 brink brink 0.161245 7 5 1 12 5
485 brinks brink 0.05 4 6 1 14 6
486 brisk brisk 0.228035 3 5 1 10 5
487 broach broach 0.063246 2 6 1 14 4
488 broached broach 0.05 0 8 1 14 5
489 broad broad 0.764199 2 5 0.166667 4 4
490 brogue brogue 0.05 1 6 1 14 4
491 broil broil 0.134164 0 5 1 14 4
492 broiled broil 0.126491 0 7 1 14 5
493 broils broil 0.05 0 6 1 14 5
494 broke break 0.889944 2 5 1 3 4
495 bronx bronx 0.05 0 5 1 10 6
496 bronze bronze 0.363318 0 6 1 5 5
497 brooch brooch 0.167332 1 6 1 14 4
498 brood brood 0.2 4 5 0.454545 11 4
499 broods brood 0.148324 3 6 0.444444 14 5
500 brook brook 0.389872 3 5 0.833333 8 4
501 brooks brook 0.184391 3 6 0.888889 8 5
502 broom broom 0.394968 4 5 1 5 4
503 brooms broom 0.167332 4 6 1 14 5
504 broth broth 0.178885 3 5 0.857143 12 4
505 broths broth 0.05 2 6 1 14 5
506 brought bring 1 1 7 0.875 2 4
507 brow brow 0.264575 5 4 0.37037 8 3
508 brown brown 1 5 5 0.888889 2 4
509 brows brow 0.154919 6 5 0.315789 10 4
510 bruise bruise 0.1 2 6 0.666667 12 4
511 brunch brunch 0.05 2 6 1 14 5
512 brunt brunt 0.063246 2 5 1 14 5
513 brunts brunt 0.05 1 6 1 14 6
514 brush brush 0.70852 3 5 0.8125 4 4
515 brushed brush 0.387298 2 7 0.857143 5 5
516 brute brute 0.148324 0 5 0.714286 11 4
517 brutes brute 0.109545 0 6 1 14 5
518 buck buck 0.264575 13 4 0.9375 5 3
519 bucks buck 0.141421 11 5 1 14 4
520 bud bud 0.173205 15 3 1 7 3
521 budge budge 0.204939 5 5 1 12 3
522 budged budge 0.05 2 6 1 14 4
523 buds bud 0.343511 12 4 1 7 4
524 buff buff 0.126491 8 4 1 12 3
525 bug bug 0.31305 20 3 1 10 3
526 bugs bug 0.343511 15 4 1 5 4
527 build build 1 2 5 1 3 4
528 builds build 0.343511 1 6 1 7 5
529 built build 1 3 5 1 3 4
530 bulb bulb 0.531037 2 4 1 5 4
531 bulbs bulb 0.282843 2 5 1 7 5
532 bulge bulge 0.167332 2 5 1 7 4
533 bulged bulge 0.141421 1 6 1 12 5
534 bulk bulk 0.303315 8 4 1 9 4
535 bulks bulk 0.063246 8 5 1 14 5
536 bull bull 0.409878 16 4 0.272727 4 3
537 bulls bull 0.2 10 5 0.4 7 4
538 bum bum 0.1 12 3 1 14 3
539 bump bump 0.282843 9 4 1 7 4
540 bumped bump 0.31305 3 6 1 11 5
541 bumps bump 0.219089 8 5 1 10 5
542 bums bum 0.063246 12 4 1 14 4
543 bun bun 0.089443 18 3 1 14 3
544 bunch bunch 0.458258 6 5 1 5 4
545 bung bung 0.063246 9 4 1 14 4
546 bunk bunk 0.178885 13 4 1 7 4
547 bunks bunk 0.148324 10 5 1 12 5
548 buns bun 0.126491 19 4 1 14 4
549 bunt bunt 0.134164 11 4 1 14 4
550 bunts bunt 0.05 7 5 1 14 5
551 bur bur 0.05 11 3 1 14 3
552 burl burl 0.05 9 4 1 14 4
553 burls burl 0.05 8 5 1 14 5
554 burn burn 0.616441 6 4 1 4 4
555 burned burn 0.726636 1 6 1 3 5
556 burns burn 0.426615 5 5 1 6 5
557 burp burp 0.063246 5 4 1 14 4
558 burps burp 0.05 5 5 1 14 5
559 burr burr 0.126491 5 4 1 13 3
560 burrs burr 0.126491 3 5 1 14 4
561 burs bur 0.05 13 4 1 14 4
562 burst burst 0.622896 0 5 1 4 5
563 bus bus 0.830662 9 3 0.75 2 3
564 bush bush 0.471169 11 4 0.1875 4 3
565 buss buss 0.05 15 4 1 14 3
566 bust bust 0.2 13 4 1 12 4
567 busts bust 0.05 7 5 1 14 5
568 but but 1 20 3 0.8125 1 3
569 butch butch 0.05 6 5 1 14 4
570 butt butt 0.219089 4 4 1 9 3
571 butts butt 0.07746 4 5 1 14 4
572 buy buy 1 11 3 1 2 2
573 buys buy 0.286356 9 4 1 7 3
574 buzz buzz 0.236643 1 4 1 12 3
575 buzzed buzz 0.204939 0 6 1 14 4
576 by by 1 2 2 1 1 2
577 ca ca 0.089443 4 2 0.875 14 2
578 cab cab 0.349285 15 3 1 7 3
